region,location,street_address,num_of_rooms,size,fee,final_price,initial_price
Solnakommun,Huvudsta,Jonstorpsvägen 20,2,66.0,4049,2900000,2589285
Stockholmskommun,Södermalm,Hornsgatan 33a,5,137.0,3518,17500000,15624999
Stockholmskommun,Hammarbyhöjden,Nathorstvägen 38,2,64.0,4506,4400000,4400000
Stockholmskommun,Vasastan,Rörstrandsgatan 2A,2,50.0,550,7000000,6249999
Stockholmskommun,Mariatorget,Krukmakargatan 10 6tr,3,84.0,3607,7650000,6891891
Stockholmskommun,Kungsholmen,Hjärnegatan 7,2,42.0,2526,5400000,4695652
Nackakommun,Nacka,"Winborgs väg 7, 2 tr",2,69.0,4025,4800000,4485981
Stockholmskommun,Kista,Langelandsgatan 41 - med möjlig uthyrningsdel!,5,100.0,6467,3350000,2500000
Stockholmskommun,Spånga,Sotingeplan 36,4,111.5,5930,2375000,2199074
Stockholmskommun,Vasastan,Rådmansgatan 75,4,95.0,4315,10200000,9902912
Stockholmskommun,Södermalm,Bergsunds Strand 9,2,51.0,2614,6220000,5654545
Stockholmskommun,Östermalm,"Grev Turegatan 69, 5TR",5,100.0,4202,18750000,18028846
Stockholmskommun,Hornstull,Högalidsgatan 25,2,62.0,3434,5200000,5000000
Stockholmskommun,HammarbySjöstad,Sickla Kanalgata 45,4,119.5,7032,12175000,11706730
Stockholmskommun,Telefonplan,LM Ericssons väg 10D,2,56.0,2330,4700000,4311926
Stockholmskommun,Liljeholmskajen,"Marieviksgatan 40, 5 tr",2,45.0,2571,3600000,3396226
Solnakommun,Järvastaden,Fridensborgsvägen 155,2,67.0,3638,3800000,3392857
Sundbybergskommun,SundbybergCentrum,Gränsgatan 1,1,35.0,2208,2700000,2195121
Solnakommun,Hagalund,Kyrkbacken 6,1,18.5,1553,1550000,1462264
Stockholmskommun,Stockholm,"Rindögatan 30, 5 av 5 tr",1,25.0,2066,2850000,2499999
Solnakommun,Järvastaden,"Fridensborgsvägen 150, 4 tr",3,82.0,4169,4450000,4278846
Sundbybergskommun,Hallonbergen,Lötsjövägen 47,2,68.8,3740,2175000,1995412
Stockholmskommun,Östermalm,Gyllenstiernsgatan 3,2,39.0,1979,4100000,3504273
Stockholmskommun,Kista,Vejlegatan 9,2,45.0,3662,1895000,1895000
Sollentunakommun,Tureberg,Attundagränd 5 6 tr,3,66.0,4008,3500000,3398058
Stockholmskommun,Kista,Hanstavägen 94 - Accepterat pris!,4,87.5,4597,3250000,3250000
Solnakommun,Ulriksdal,"Slåttervägen 6, 4tr",3,79.0,4512,4350000,3990825
Stockholmskommun,Grimsta,Kanngjutargränd 26,3,70.0,4458,2500000,2500000
Stockholmskommun,Hässelby,Astrakangatan 4,2,42.0,2667,1650000,1650000
Stockholmskommun,Globen,"Grafikvägen 32, 2 tr",1,27.0,2060,2375000,2305825
Stockholmskommun,Enskede,"Bjulevägen 22, 1 tr",2,56.0,4514,2300000,2000000
Stockholmskommun,Bromma,Klädesvägen 38 ACCEPTERAT PRIS 3 150 000 KR,2,50.0,2833,3150000,3150000
Stockholmskommun,Vasastan,Döbelnsgatan 29,3,80.0,4788,12000000,9917355
Stockholmskommun,Liljeholmen,"Liljeholmsvägen 12, Vån 3",2,41.0,2476,3500000,3097345
Stockholmskommun,Akalla,Torneågatan 25,3,80.0,4697,2250000,1991150
Stockholmskommun,Beckomberga,Bällstavägen 242 A,2,59.0,3571,2500000,2500000
Stockholmskommun,Älvsjö,Prästgårdsgränd 8,2,63.0,3265,2915000,2602678
